Product Name,avg_units_per_month,demand_coefficient_of_variation,total_units_sold,mover_class,stockout_risk_proxy
insta-bed Neverflat Air Mattress,1.82,2.533,60,Slow Mover,High Variability (Higher Risk Proxy)
GolfBuddy VT3 GPS Watch,1.79,2.441,59,Slow Mover,Lower Variability
Merrell Women's Grassbow Sport Waterproof Hik,1.76,2.521,58,Slow Mover,High Variability (Higher Risk Proxy)
Polar Loop Activity Tracker,1.64,2.361,54,Slow Mover,Lower Variability
Titleist Small Wheeled Travel Cover,1.64,2.448,54,Slow Mover,High Variability (Higher Risk Proxy)
Pelican Maverick 100X Kayak,1.21,5.745,40,Slow Mover,High Variability (Higher Risk Proxy)
Garmin Approach S4 Golf GPS Watch,1.09,5.745,36,Slow Mover,High Variability (Higher Risk Proxy)
Total Gym 1400,1.09,5.745,36,Slow Mover,High Variability (Higher Risk Proxy)
Garmin Forerunner 910XT GPS Watch,1.06,5.745,35,Slow Mover,High Variability (Higher Risk Proxy)
Titleist Club Glove Travel Cover,1.03,5.745,34,Slow Mover,High Variability (Higher Risk Proxy)
GoPro HERO3+ Black Edition Camera,0.97,5.745,32,Slow Mover,High Variability (Higher Risk Proxy)
Diamondback Boys' Insight 24 Performance Hybr,0.88,5.745,29,Slow Mover,High Variability (Higher Risk Proxy)
Diamondback Girls' Clarity 24 Hybrid Bike 201,0.85,5.745,28,Slow Mover,High Variability (Higher Risk Proxy)
Stiga Master Series ST3100 Competition Indoor,0.82,5.745,27,Slow Mover,High Variability (Higher Risk Proxy)
Bowflex SelectTech 1090 Dumbbells,0.21,5.745,7,Slow Mover,High Variability (Higher Risk Proxy)
SOLE E35 Elliptical,0.18,5.745,6,Slow Mover,High Variability (Higher Risk Proxy)
Bushnell Pro X7 Jolt Slope Rangefinder,0.12,5.745,4,Slow Mover,High Variability (Higher Risk Proxy)
SOLE E25 Elliptical,0.06,5.745,2,Slow Mover,High Variability (Higher Risk Proxy)
